runtime_minutes,director_name,movie_averageRating,movie_numerOfVotes,approval_Index,age,Production budget $,Domestic gross $,Worldwide gross $,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,\N
89.0,1e-10,4.9,20687.0,3.4507322699291443,1,24000000.0,9659074.0,24474463.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
149.0,1e-10,6.4,24367.0,4.624529250217587,1,40000000.0,5332621.0,9429910.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121.0,8.0,6.6,124639.0,5.565750668079195,0,75000000.0,43632458.0,85632458.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
127.0,111.0,7.4,660254.0,7.164084608470866,1,200000000.0,373524485.0,794697557.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
107.0,1e-10,6.7,124642.0,5.65208949588857,1,11000000.0,50474843.0,78356170.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
87.0,1e-10,5.8,29359.0,4.258151120638519,1,5000000.0,3614896.0,4620399.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
117.0,100.0,8.1,776451.0,7.950848745828169,1,28000000.0,32656328.0,39538663.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
155.0,87.0,7.9,269185.0,7.1355453172154215,0,15000000.0,26410771.0,43111725.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81.0,1e-10,4.2,20893.0,2.9419997585079978,2,100000.0,22764410.0,41656474.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
129.0,1e-10,6.8,99514.0,5.625773045870992,1,40000000.0,42402632.0,75984700.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88.0,1e-10,6.5,212648.0,5.734906482077699,2,95000000.0,161321843.0,879765137.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97.0,80.0,5.6,588.0,2.4955136360961703,0,400000.0,44452.0,44452.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115.0,1e-10,6.7,62253.0,5.309862241096623,2,20000000.0,20211394.0,27911453.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95.0,1e-10,5.5,23161.0,3.935125721892651,1,5000000.0,3502600.0,4267808.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132.0,1e-10,6.5,34633.0,4.866984982468637,2,35000000.0,18306166.0,29882645.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98.0,1e-10,6.4,53771.0,4.9972333966854805,2,5000000.0,12241072.0,18945682.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
96.0,32.0,6.5,199694.0,5.704848248613001,1,40000000.0,47958031.0,92110539.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
