runtime_minutes,director_name,movie_averageRating,movie_numerOfVotes,approval_Index,production_year,month_sin,month_cos,number_of_professions,age,Production budget $,Domestic gross $,Worldwide gross $,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western,cluster
91.0,1e-10,4.8,14197.0,3.244662757665242,2016,1.0,6.123233995736766e-17,3,2,10000000.0,6900335.0,11360665.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
99.0,139.0,6.8,233659.0,6.052820440790177,2008,1e-10,0.8660254037844384,3,0,28000000.0,67300955.0,94500826.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99.0,630.0,8.1,819425.0,7.982952624218219,2014,1.0,6.123233995736766e-17,3,1,31000000.0,59076019.0,163503514.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
96.0,615.0,6.3,70208.0,5.040726380623943,2004,0.8660254037844387,1e-10,3,0,35000000.0,22913677.0,24200318.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94.0,121.0,6.3,26982.0,4.597462802218132,2012,1e-10,1e-10,3,2,22000000.0,49008662.0,77229695.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,1e-10,5.6,7451.0,3.5417889600745727,1929,0.8660254037844386,0.5000000000000001,3,1,379000.0,2800000.0,4358000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
144.0,495.0,7.7,401118.0,7.177524789726086,2001,1e-10,1.0,3,2,95000000.0,108638745.0,159691085.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
86.0,1e-10,6.0,46778.0,4.615163543480753,1986,1e-10,1e-10,3,0,3000000.0,19472057.0,19472523.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
96.0,506.0,6.4,223560.0,5.668212643211157,2001,1e-10,1e-10,3,0,18000000.0,96493426.0,141809235.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
154.0,162.0,7.8,445976.0,7.333288797712047,2003,1e-10,1.0,3,1,140000000.0,111110575.0,456810575.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
99.0,1e-10,6.6,8987.0,4.288807743106545,1996,1e-10,0.8660254037844384,3,1,12500000.0,1212799.0,1412799.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90.0,1e-10,5.1,14650.0,3.4674794259895103,2010,1e-10,1e-10,1,2,20000000.0,25107267.0,48958353.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104.0,263.0,5.4,15432.0,3.699864499305157,2011,0.8660254037844387,1e-10,3,0,8000000.0,10130219.0,10763183.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90.0,265.0,6.1,59305.0,4.800773543254808,2013,1e-10,1e-10,3,0,500000.0,343706.0,407100.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
110.0,372.0,7.1,262111.0,6.38569720898397,2012,1e-10,0.5000000000000001,3,1,13500000.0,15024049.0,33035736.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90.0,92.0,7.4,63501.0,5.889203995839906,2000,1e-10,1e-10,3,1,6000000.0,18621249.0,20695413.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153.0,1e-10,7.6,115676.0,6.387290290100326,1961,1e-10,0.5000000000000001,1,2,6000000.0,43700000.0,47596274.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
125.0,218.0,7.5,44557.0,5.775069390210889,2001,1e-10,0.5000000000000001,3,2,18000000.0,15652637.0,23889158.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97.0,1e-10,6.3,95265.0,5.182193735517985,2016,0.49999999999999994,1e-10,1,2,73000000.0,107509366.0,352288341.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
106.0,143.0,6.3,81307.0,5.108757597999184,2015,0.49999999999999994,0.8660254037844387,3,0,12000000.0,22348241.0,32909437.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
90.0,1e-10,5.0,3510.0,2.8712753192596434,2004,1e-10,1e-10,3,2,9757500.0,10283760.93,9561419.62,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
103.0,1e-10,6.2,135165.0,5.257426304188551,2011,1e-10,0.5000000000000001,3,2,38000000.0,16999934.0,27573078.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
125.0,283.0,7.5,164161.0,6.494677096293726,2013,1e-10,0.8660254037844384,3,2,35000000.0,83299761.0,114962525.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
89.0,1e-10,4.1,17135.0,2.808997310110471,2014,0.49999999999999994,0.8660254037844387,1,2,7000000.0,15821461.0,36146087.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
120.0,1e-10,6.1,50883.0,4.732031968285314,2001,1.0,6.123233995736766e-17,3,1,42000000.0,24375436.0,56331864.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116.0,481.0,5.7,1547.0,2.948114109778407,2021,1e-10,1.0,3,1,9000000.0,475488.0,475488.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
163.0,80.0,7.3,407964.0,6.806907572810991,2021,1e-10,1e-10,3,1,250000000.0,160891007.0,759959662.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
106.0,94.0,7.8,667722.0,7.564912981322426,2017,1e-10,1e-10,3,1,150000000.0,190068280.0,518058826.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
111.0,565.0,6.0,18165.0,4.197588222113262,1994,1e-10,1.0,3,0,27000000.0,44342956.0,44342956.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
95.0,235.0,7.1,155857.0,6.114147194562692,2013,1e-10,1e-10,3,0,2500000.0,6852971.0,6916951.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
108.0,1e-10,6.4,189421.0,5.590184058945638,2006,1e-10,0.8660254037844384,1,2,85000000.0,198000317.0,385000315.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
129.0,125.0,7.7,402242.0,7.17911007693996,1997,1e-10,1e-10,3,0,50000000.0,48265581.0,80369970.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
91.0,119.0,5.7,19297.0,4.006470019356913,2014,1e-10,1e-10,3,2,13000000.0,38934842.0,42174545.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
